__time,/joint_states/header/stamp,/joint_states/joint_a1/effort,/joint_states/joint_a1/position,/joint_states/joint_a1/velocity,/joint_states/joint_a2/effort,/joint_states/joint_a2/position,/joint_states/joint_a2/velocity,/joint_states/joint_a3/effort,/joint_states/joint_a3/position,/joint_states/joint_a3/velocity,/joint_states/joint_a4/effort,/joint_states/joint_a4/position,/joint_states/joint_a4/velocity,/joint_states/joint_a5/effort,/joint_states/joint_a5/position,/joint_states/joint_a5/velocity,/joint_states/joint_a6/effort,/joint_states/joint_a6/position,/joint_states/joint_a6/velocity,/joint_states/joint_a7/effort,/joint_states/joint_a7/position,/joint_states/joint_a7/velocity
1762698517.596614,23.290000000,0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,0.000000000,-0.000006805,0.000000000
1762698517.602456,23.295000000,-0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,0.000000000,-0.000006805,0.000000000
1762698517.607349,23.300000000,0.000000000,0.499996849,0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,0.000000000
1762698517.612385,23.305000000,0.000000000,0.499996849,0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,-0.000000000
1762698517.617272,23.310000000,0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,-0.000000000
1762698517.622190,23.315000000,0.000000000,0.499996849,0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,0.000000000,-0.000006805,-0.000000000
1762698517.627636,23.320000000,-0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,0.000000000
1762698517.633090,23.325000000,-0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,-0.000000000
1762698517.637757,23.330000000,-0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,-0.000000000
1762698517.643012,23.335000000,-0.000000000,0.499996849,0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,-0.000000000
1762698517.652603,23.340000000,0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,0.000000000
1762698517.655983,23.345000000,0.000000000,0.499996849,0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,0.000000000
1762698517.661407,23.350000000,-0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,0.000000000
1762698517.666965,23.355000000,0.000000000,0.499996849,0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,0.000000000
1762698517.672256,23.360000000,-0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,0.000000000
1762698517.676969,23.365000000,0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,-0.000000000
1762698517.682348,23.370000000,0.000000000,0.499996849,0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,0.000000000,-0.000006805,-0.000000000
1762698517.687388,23.375000000,0.000000000,0.499996849,0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,0.000000000
1762698517.692223,23.380000000,0.000000000,0.499996849,0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,-0.000000000
1762698517.697731,23.385000000,-0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,0.000000000,-0.000006805,-0.000000000
1762698517.703077,23.390000000,-0.000000000,0.499996849,0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,0.000000000
1762698517.708042,23.395000000,-0.000000000,0.499996849,0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,0.000000000
1762698517.713231,23.400000000,-0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,0.000000000,-0.000006805,-0.000000000
1762698517.722337,23.405000000,-0.000000000,0.499996849,0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,0.000000000
1762698517.728007,23.410000000,0.000000000,0.499996849,0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,-0.000000000
1762698517.732419,23.415000000,-0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,0.000000000,-0.000006805,-0.000000000
1762698517.737310,23.420000000,0.000000000,0.499996849,0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,0.000000000,-0.000006805,-0.000000000
1762698517.742094,23.425000000,-0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,0.000000000,-0.000006805,-0.000000000
1762698517.747262,23.430000000,-0.000000000,0.499996849,0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,0.000000000
1762698517.752055,23.435000000,-0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,0.000000000
1762698517.757447,23.440000000,0.000000000,0.499996849,0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,-0.000000000
1762698517.762082,23.445000000,0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,0.000000000
1762698517.766970,23.450000000,-0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,0.000000000
1762698517.772679,23.455000000,-0.000000000,0.499996849,0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,0.000000000
1762698517.780775,23.460000000,0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,-0.000000000
1762698517.785675,23.465000000,-0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,-0.000000000
1762698517.790743,23.470000000,-0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,0.000000000,-0.000006805,0.000000000
1762698517.795706,23.475000000,0.000000000,0.499996849,0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,-0.000000000
